代码,中文名,简介,持仓数量,成本价,收盘价,持仓市值,持仓占比,昨日收盘价,单日盈亏,总盈亏
NVDA,英伟达,GPU生产商,150,170.03,176.67,26500.5,11%,176.24,64.5,996
GOOGL,谷歌,,100,235.59,254.72,25472,11%,252.03,269,1913
TSLA,特斯拉,,50,349.07,426.07,21303.5,9%,416.85,461,3850
BE,BE,做供电发电的，燃料电池,60,54.62,84.93,5095.8,2%,80.97,237.6,1818.6
AVGO,博通,做定制GPU，定制芯片的,30,348.69,344.94,10348.2,4%,345.35,-12.3,-112.5
BABA,阿里巴巴,,130,144.54,162.81,21165.3,9%,162.48,42.9,2375.1
VRT,维谛技术,冷却GPU的,100,137.02,143.6,14360,6%,141.96,164,658
YINN,三倍做多中国,YINN做多,200,53.9,53.78,10756,4%,54.5,-144,-24
PLTR,Palantir,通过数据帮助政府、商业的,100,172.58,182.39,18239,8%,176.97,542,981
PAAS,泛美白银,,200,34.66,36.46,7292,3%,35.22,248,360
EZJ,两倍做多日本,,50,50.15,49.658,2482.9,1%,50.602,-47.2,-24.6
TSM,台积电,给别人把芯片做出来的,100,259.83,264.87,26487,11%,268.64,-377,504
META,META,,20,785.61,778.38,15567.6,6%,780.25,-37.4,-144.6
,,,,,,,,当日盈亏,"1,411.10",
,,,,,,,,,,
总金额,240000,,,,,,,,,
仓位,85%,,,,,,,,,
总盈亏,13150,,,,,,,,,
总盈亏（%）,5%,,,,,,,,,
,,,,,,,,,,
持仓占比,,,,,,,,,,
AI相关,59%,,,,,,,,,
硬件,34%,,,,,,,,,
软件,25%,,,,,,,,,
宏观对冲,4%,,,,,,,,,
Long中国,13%,,,,,,,,,
TSLA,9%,,,,,,,,,
,,,,,,,,,,
今日日期,2025/9/19,,,,,,,,,
昨天日期,2025/9/18,,,,,,,,,
